exp_id,proposition,seed,judgment_acc,positional_acc,per_token_shortfall,conclusion,config_path,run_dir
exp10_imply_supervised,G1/G3,0,0.996,,,SUPPORT,lab/configs/exp10_imply_supervised.json,exp10_imply_supervised_20260811_073639
exp02_supervised_s1,G1,1,1.000,,,SUPPORT,lab/configs/exp02_s1.json,exp02_supervised_s1_20260811_081122
exp02_supervised_s2,G1,2,1.000,,,SUPPORT,lab/configs/exp02_s2.json,exp02_supervised_s2_20260811_081423
exp20a_rm_iffxor,G2,0,0.798,,iff/xor 0.000,SUPPORT,lab/configs/exp20a_rm_iffxor.json,exp20a_rm_iffxor_20260811_070700
exp20b_rm_andor,G2,0,0.814,,and/or 0.000,SUPPORT,lab/configs/exp20b_rm_andor.json,exp20b_rm_andor_20260811_070701
exp41_permute,G4,0,0.987,,,SUPPORT,lab/configs/exp41_permute.json,exp41_permute_20260811_080924
exp53_e1,G5,0,0.001,,,收敛点前(部分),lab/configs/exp53_e1.json,
exp53_e2,G5,0,0.214,,,收敛点前(部分),lab/configs/exp53_e2.json,
exp53_e3,G5,0,0.244,,,收敛点前(部分),lab/configs/exp53_e3.json,
exp53_e5,G5,0,0.781,,,收敛点前(部分),lab/configs/exp53_e5.json,
exp53_e8,G5,0,0.996,,,SUPPORT(直觉难以获得,收敛点=8),lab/configs/exp53_e8.json,
exp60_n500,G6,0,0.000,,,测法无效(随机裁剪破搭配),lab/configs/exp60_n500.json,
exp60_n1000,G6,0,0.214,,,测法无效,lab/configs/exp60_n1000.json,
exp60_n2000,G6,0,0.453,,,测法无效,lab/configs/exp60_n2000.json,
exp60_n4000,G6,0,0.781,,,测法无效,lab/configs/exp60_n4000.json,
exp60_n8000,G6,0,0.996,,,测法无效,lab/configs/exp60_n8000.json,
exp80_extrap,G5/R,0,1.000,,,SUPPORT (外推零衰减),lab/configs/exp02_s2.json,exp02_supervised_s2_20260811_081412
exp90_num_speed,G5,0,0.410ms/0.186ms (结构/直觉),,,SUPPORT (2.2x),lab/exp90_1000/exp90_speed.py,exp02_supervised_s2_20260811_081412
exp70_carry,G5,0,1.000,,,SUPPORT (2000位进位/借位链),docs/paper_data/scripts/exp70_carry.py,fold_num_v5_20260811_191742
exp61h_intervention,G5b,0,1.000/0.000 (c0/c1),,,SUPPORT (结构集中/位置敏感),docs/paper_data/scripts/exp61h_variants.py,exp61h_V2same_20260811_225557
