group	cond	seed	dim	layers	epoch	pt_ood	seq_ood
main	baseline	0	64	2	1	0.0000	0.0000
main	baseline	0	64	2	2	0.1738	0.0000
main	baseline	0	64	2	3	0.8411	0.0000
main	baseline	0	64	2	4	0.8411	0.0000
main	baseline	0	64	2	5	0.8411	0.0000
main	baseline	0	64	2	6	0.8411	0.0000
main	baseline	0	64	2	7	0.8411	0.0000
main	baseline	0	64	2	8	0.8485	0.0000
main	baseline	0	64	2	9	0.8841	0.0000
main	baseline	0	64	2	10	0.9338	0.0000
main	baseline	0	64	2	11	0.9470	0.0000
main	baseline	0	64	2	12	0.9735	0.2500
main	baseline	0	64	2	13	0.9801	0.3750
main	baseline	0	64	2	14	0.9868	0.5000
main	baseline	0	64	2	15	1.0000	1.0000
main	baseline	0	64	2	16	1.0000	1.0000
main	baseline	0	64	2	17	1.0000	1.0000
main	baseline	0	64	2	18	1.0000	1.0000
main	baseline	0	64	2	19	1.0000	1.0000
main	baseline	0	64	2	20	1.0000	1.0000
main	baseline	0	64	2	21	1.0000	1.0000
main	baseline	0	64	2	22	1.0000	1.0000
main	baseline	0	64	2	23	1.0000	1.0000
main	baseline	0	64	2	24	1.0000	1.0000
main	baseline	0	64	2	25	1.0000	1.0000
main	baseline	0	64	2	26	1.0000	1.0000
main	baseline	0	64	2	27	1.0000	1.0000
main	baseline	0	64	2	28	1.0000	1.0000
main	baseline	0	64	2	29	1.0000	1.0000
main	baseline	0	64	2	30	1.0000	1.0000
main	baseline	0	64	2	31	1.0000	1.0000
main	baseline	0	64	2	32	1.0000	1.0000
main	baseline	0	64	2	33	1.0000	1.0000
main	baseline	0	64	2	34	1.0000	1.0000
main	baseline	0	64	2	35	1.0000	1.0000
main	baseline	0	64	2	36	1.0000	1.0000
main	baseline	0	64	2	37	1.0000	1.0000
main	baseline	0	64	2	38	1.0000	1.0000
main	baseline	0	64	2	39	1.0000	1.0000
main	baseline	0	64	2	40	1.0000	1.0000
main	baseline	0	64	2	41	1.0000	1.0000
main	baseline	0	64	2	42	1.0000	1.0000
main	baseline	0	64	2	43	1.0000	1.0000
main	baseline	0	64	2	44	1.0000	1.0000
main	baseline	0	64	2	45	1.0000	1.0000
main	baseline	0	64	2	46	1.0000	1.0000
main	baseline	0	64	2	47	1.0000	1.0000
main	baseline	0	64	2	48	1.0000	1.0000
main	baseline	0	64	2	49	1.0000	1.0000
main	baseline	0	64	2	50	1.0000	1.0000
main	baseline	0	64	2	51	1.0000	1.0000
main	baseline	0	64	2	52	1.0000	1.0000
main	baseline	0	64	2	53	1.0000	1.0000
main	baseline	0	64	2	54	1.0000	1.0000
main	baseline	0	64	2	55	1.0000	1.0000
main	baseline	0	64	2	56	1.0000	1.0000
main	baseline	0	64	2	57	1.0000	1.0000
main	baseline	0	64	2	58	1.0000	1.0000
main	baseline	0	64	2	59	1.0000	1.0000
main	baseline	0	64	2	60	1.0000	1.0000
main	baseline	1	64	2	1	0.0033	0.0000
main	baseline	1	64	2	2	0.7740	0.0000
main	baseline	1	64	2	3	0.7690	0.0000
main	baseline	1	64	2	4	0.7616	0.0000
main	baseline	1	64	2	5	0.7616	0.0000
main	baseline	1	64	2	6	0.7616	0.0000
main	baseline	1	64	2	7	0.7616	0.0000
main	baseline	1	64	2	8	0.8808	0.0000
main	baseline	1	64	2	9	0.8940	0.0000
main	baseline	1	64	2	10	0.9056	0.0000
main	baseline	1	64	2	11	0.9470	0.0000
main	baseline	1	64	2	12	0.9470	0.0000
main	baseline	1	64	2	13	0.9553	0.0625
main	baseline	1	64	2	14	0.9719	0.2500
main	baseline	1	64	2	15	0.9735	0.2500
main	baseline	1	64	2	16	0.9735	0.2500
