group	cond	seed	dim	layers	epochs	pt_ood_final	peak_epoch	peak_pt_ood	hit_one	norm_pt	seq_ood_final
main	baseline	0	64	2	60	1.0	15	1.0	1	0.0667	1.0
main	baseline	1	64	2	60	1.0	26	1.0	1	0.0385	1.0
main	baseline	2	64	2	60	1.0	32	1.0	1	0.0312	1.0
main	baseline	3	64	2	60	1.0	28	1.0	1	0.0357	1.0
main	baseline	4	64	2	60	1.0	20	1.0	1	0.05	1.0
main	baseline	5	64	2	60	1.0	24	1.0	1	0.0417	1.0
main	baseline	6	64	2	60	1.0	23	1.0	1	0.0435	1.0
main	baseline	7	64	2	60	1.0	17	1.0	1	0.0588	1.0
main	baseline	8	64	2	60	1.0	22	1.0	1	0.0455	1.0
main	baseline	9	64	2	60	1.0	20	1.0	1	0.05	1.0
main	no_decl	0	64	2	60	0.2384	16	0.2384	0	0.0149	0.0
main	no_decl	1	64	2	60	0.2384	29	0.2384	0	0.0082	0.0
main	no_decl	2	64	2	60	0.2384	34	0.2384	0	0.007	0.0
main	no_decl	3	64	2	60	0.2384	24	0.2384	0	0.0099	0.0
main	no_decl	4	64	2	60	0.2384	24	0.2384	0	0.0099	0.0
main	no_decl	5	64	2	60	0.2384	34	0.2384	0	0.007	0.0
main	no_decl	6	64	2	60	0.2384	18	0.2384	0	0.0132	0.0
main	no_decl	7	64	2	60	0.2384	20	0.2384	0	0.0119	0.0
main	no_decl	8	64	2	60	0.2384	15	0.2384	0	0.0159	0.0
main	no_decl	9	64	2	60	0.2384	16	0.2384	0	0.0149	0.0
main	decl_full	0	64	2	60	1.0	14	1.0	1	0.0714	1.0
main	decl_full	1	64	2	60	1.0	26	1.0	1	0.0385	1.0
main	decl_full	2	64	2	60	1.0	33	1.0	1	0.0303	1.0
main	decl_full	3	64	2	60	1.0	22	1.0	1	0.0455	1.0
main	decl_full	4	64	2	60	1.0	20	1.0	1	0.05	1.0
main	decl_full	5	64	2	60	1.0	32	1.0	1	0.0312	1.0
main	decl_full	6	64	2	60	1.0	17	1.0	1	0.0588	1.0
main	decl_full	7	64	2	60	1.0	17	1.0	1	0.0588	1.0
main	decl_full	8	64	2	60	1.0	15	1.0	1	0.0667	1.0
main	decl_full	9	64	2	60	1.0	26	1.0	1	0.0385	1.0
main	n_align	0	64	2	60	1.0	15	1.0	1	0.0667	1.0
main	n_align	1	64	2	60	1.0	27	1.0	1	0.037	1.0
main	n_align	2	64	2	60	1.0	33	1.0	1	0.0303	1.0
main	n_align	3	64	2	60	1.0	30	1.0	1	0.0333	1.0
main	n_align	4	64	2	60	1.0	20	1.0	1	0.05	1.0
main	n_align	5	64	2	60	1.0	25	1.0	1	0.04	1.0
main	n_align	6	64	2	60	1.0	25	1.0	1	0.04	1.0
main	n_align	7	64	2	60	1.0	17	1.0	1	0.0588	1.0
main	n_align	8	64	2	60	1.0	22	1.0	1	0.0455	1.0
main	n_align	9	64	2	60	1.0	20	1.0	1	0.05	1.0
main	excl_pollute10	0	64	2	60	1.0	16	1.0	1	0.0625	1.0
main	excl_pollute10	1	64	2	60	1.0	30	1.0	1	0.0333	1.0
main	excl_pollute10	2	64	2	60	1.0	31	1.0	1	0.0323	1.0
main	excl_pollute10	3	64	2	60	1.0	34	1.0	1	0.0294	1.0
main	excl_pollute10	4	64	2	60	1.0	22	1.0	1	0.0455	1.0
main	excl_pollute10	5	64	2	60	1.0	23	1.0	1	0.0435	1.0
main	excl_pollute10	6	64	2	60	1.0	34	1.0	1	0.0294	1.0
main	excl_pollute10	7	64	2	60	1.0	19	1.0	1	0.0526	1.0
main	excl_pollute10	8	64	2	60	1.0	24	1.0	1	0.0417	1.0
main	excl_pollute10	9	64	2	60	1.0	22	1.0	1	0.0455	1.0
main	excl_pollute30	0	64	2	60	1.0	21	1.0	1	0.0476	1.0
main	excl_pollute30	1	64	2	60	1.0	35	1.0	1	0.0286	1.0
main	excl_pollute30	2	64	2	60	1.0	27	1.0	1	0.037	1.0
main	excl_pollute30	3	64	2	60	1.0	36	1.0	1	0.0278	1.0
main	excl_pollute30	4	64	2	60	1.0	25	1.0	1	0.04	1.0
main	excl_pollute30	5	64	2	60	1.0	26	1.0	1	0.0385	1.0
main	excl_pollute30	6	64	2	60	1.0	41	1.0	1	0.0244	1.0
main	excl_pollute30	7	64	2	60	1.0	23	1.0	1	0.0435	1.0
main	excl_pollute30	8	64	2	60	1.0	28	1.0	1	0.0357	1.0
main	excl_pollute30	9	64	2	60	1.0	24	1.0	1	0.0417	1.0
main	canc_1side	0	64	2	60	1.0	18	1.0	1	0.0556	1.0
main	canc_1side	1	64	2	60	1.0	27	1.0	1	0.037	1.0
main	canc_1side	2	64	2	60	1.0	34	1.0	1	0.0294	1.0
main	canc_1side	3	64	2	60	1.0	32	1.0	1	0.0312	1.0
main	canc_1side	4	64	2	60	1.0	22	1.0	1	0.0455	1.0
main	canc_1side	5	64	2	60	1.0	33	1.0	1	0.0303	1.0
main	canc_1side	6	64	2	60	1.0	16	1.0	1	0.0625	1.0
main	canc_1side	7	64	2	60	1.0	28	1.0	1	0.0357	1.0
main	canc_1side	8	64	2	60	1.0	15	1.0	1	0.0667	1.0
main	canc_1side	9	64	2	60	1.0	32	1.0	1	0.0312	1.0
main	canc_partial	0	64	2	60	1.0	22	1.0	1	0.0455	1.0
main	canc_partial	1	64	2	60	1.0	27	1.0	1	0.037	1.0
main	canc_partial	2	64	2	60	1.0	33	1.0	1	0.0303	1.0
main	canc_partial	3	64	2	60	1.0	36	1.0	1	0.0278	1.0
main	canc_partial	4	64	2	60	1.0	21	1.0	1	0.0476	1.0
main	canc_partial	5	64	2	60	1.0	32	1.0	1	0.0312	1.0
main	canc_partial	6	64	2	60	1.0	17	1.0	1	0.0588	1.0
main	canc_partial	7	64	2	60	1.0	29	1.0	1	0.0345	1.0
main	canc_partial	8	64	2	60	1.0	28	1.0	1	0.0357	1.0
main	canc_partial	9	64	2	60	1.0	34	1.0	1	0.0294	1.0
main	layer_dual	0	64	2	60	0.9205	19	0.9205	0	0.0484	0.0
main	layer_dual	1	64	2	60	0.9205	19	0.9205	0	0.0484	0.0
main	layer_dual	2	64	2	60	0.9205	30	0.9205	0	0.0307	0.0
main	layer_dual	3	64	2	60	0.9205	21	0.9205	0	0.0438	0.0
main	layer_dual	4	64	2	60	0.9205	12	0.9205	0	0.0767	0.0
main	layer_dual	5	64	2	60	0.9205	12	0.9205	0	0.0767	0.0
main	layer_dual	6	64	2	60	0.9205	21	0.9205	0	0.0438	0.0
main	layer_dual	7	64	2	60	0.9205	19	0.9205	0	0.0484	0.0
main	layer_dual	8	64	2	60	0.9205	14	0.9205	0	0.0658	0.0
main	layer_dual	9	64	2	60	0.9205	16	0.9205	0	0.0575	0.0
robust	baseline	0	128	2	60	1.0	11	1.0	1	0.0909	1.0
robust	baseline	1	128	2	60	1.0	29	1.0	1	0.0345	1.0
robust	decl_full	0	128	2	60	1.0	13	1.0	1	0.0769	1.0
robust	decl_full	1	128	2	60	1.0	25	1.0	1	0.04	1.0
robust	excl_pollute30	0	128	2	60	1.0	14	1.0	1	0.0714	1.0
robust	excl_pollute30	1	128	2	60	1.0	32	1.0	1	0.0312	1.0
robust	baseline	0	64	4	60	1.0	17	1.0	1	0.0588	1.0
robust	baseline	1	64	4	60	1.0	23	1.0	1	0.0435	1.0
robust	decl_full	0	64	4	60	1.0	16	1.0	1	0.0625	1.0
robust	decl_full	1	64	4	60	1.0	36	1.0	1	0.0278	1.0
robust	excl_pollute30	0	64	4	60	1.0	18	1.0	1	0.0556	1.0
robust	excl_pollute30	1	64	4	60	1.0	39	1.0	1	0.0256	1.0
robust	baseline	0	128	4	60	1.0	11	1.0	1	0.0909	1.0
robust	baseline	1	128	4	60	1.0	25	1.0	1	0.04	1.0
robust	decl_full	0	128	4	60	1.0	10	1.0	1	0.1	1.0
robust	decl_full	1	128	4	60	1.0	47	1.0	1	0.0213	1.0
robust	excl_pollute30	0	128	4	60	1.0	15	1.0	1	0.0667	1.0
robust	excl_pollute30	1	128	4	60	1.0	30	1.0	1	0.0333	1.0
